Apple iPhone 7 Plus,Apple A10 Fusion,Quad core 2.3 GHz ARMv8-A,,"32, 128, 256 GB",N/A,3 GB LPDDR4,iOS 10,,158.2 x 77.9 x 7.3 mm,188 g (6.6 oz),2900 mAH Li-Po non-removable battery,"5.5"" 1920 x 1080","12 MP (rear camera), 7 MP (front camera)"
Google Pixel,Qualcomm MSM8996 Snapdragon 821,Quad-core  Kryo ,Adreno 530,"32, 128 GB",N/A,4 GB RAM,"Android OS, v7.1 (Nougat)",,143.8 x 69.5 x 8.5 mm,143 g,2770 mAh ,5.0 inches ,"12.3 MP, f/2.0, EIS"
Samsung Galaxy S7,Snapdragon 820,Dual-core 2.15 GHz Kryo & Dual-core 1.44 GHz Kryo,Adreno 530,"32 GB, 64 GB",microSDXC up to 200 GB,4 GB LPDDR4,Android 6.0 Marshmallow,Touchwiz,142.4 x 69.6 x 7.9 mm,152 g (5.4 oz),3000 mAh Li-Ion non-removable battery,"5.1"" 2560 x 1440","12 MP (rear camera), 5 MP (front camera)"
Sony Xperia X Performance,Snapdragon 820,Dual-core 2.15 GHz Kryo & Dual-core 1.44 GHz Kryo,Adreno 530,"32 GB, 64 GB",microSDXC up to 2 TB,3 GB LPDDR4,Android 6.0 Marshmallow,Xperia UI,143.7 x 70.4 x 8.7 mm,164.4 g,2700 mAh Li-Ion Non-removable Battery,"5"" 1980 x 1080","23 MP (rear camera), 13 MP (front camera"
OnePlus 3,Snapdragon 820,Quad Core 2x 2.2 GHz & 2x 1.6 GHz,Adreno 530,64 GB,,6 GB LPDDR4,Android 6.0 Marshmallow,OxygenOS,152.7 x 74.7 x 7.35 mm,158 g,3000 mAh Li-Ion non-removable battery,"5.5"", 1920 x 1080","16 MP (rear camera), 8 MP (front camera)"
LG G5,Snapdragon 820,Dual-core 2.15 GHz Kryo & Dual-core 1.44 GHz Kryo,Adreno 530,32 GB,microSDXC up to 2 TB,4 GB LPDDR4,Android 6.0 Marshmallow,,149.4 x 73.9 x 7.7 mm,159 g (5.61 oz),2800 mAh Li-Ion removable battery,"5.3"" 2560 x 1440","16 MP (rear camera), 8 MP (front camera)"
HTC 10,Snapdragon 820,Dual-core 2.15 GHz Kryo & Dual-core 1.44 GHz Kryo,Adreno 530,"32 GB, 64 GB",microSD up to 2 TB,4 GB LPDDR4,Android 6.0 Marshmallow,Sense UI,145.9 x 71.9 x 9 mm,160 g (5.7 oz),3000 mAh Li-Ion non-removable battery,"5.2"" 2560 x 1440","12 MP (rear camera), 5 MP (front camera)"
Huawei P9,HiSilicon Kirin 955,Quad-core 2.5 GHz Cortex-A72,Mali-T880 MP4,32 GB,microSD up to 128GB,3 GB,Android 6.0 Marshmallow,EMUI,145 x 70.9 x 7 mm,144 g,3000 mAh Li-Ion non-removable battery,"5.2"", 1920 x 1080","12 MP (rear camera), 8 MP (front camera)"
BlackBerry DTEK50,Snapdragon 617,Quad-core 1.5 GHz Cortex-A53 & Quad-core 1.2 GHz Cortex-A53,Adreno 405,32 GB,microSDXC up to 2 TB,3 GB LPDDR3,Android 6.0 Marshmallow,,147 x 72.5 x 7.4 mm,135 g,2610 mAh Li-Ion non-removable battery,"5.2"", 1920 x 1080","13 MP (rear camera), 8 MP (front camera)"
Samsung Galaxy J1 Ace VE,Spreadrum SC9830A,Quad-Core 1.5 GHz ARM Cortex-A7,Mali-400 MP2,"8 GB,",microSD up to 128 GB,1GB,Android 5.1.1 Lollipop,Touchwiz,130.1 x 67.6 x 9.5 mm,131 g (4.6 oz),1900 mAh Li-Ion removable battery,"4.3"" 480 x 800","5 MP (rear camera), 2 MP (front camera)"
Apple iPhone 7,Apple A10 Fusion,Quad core 2.3 GHz ARMv8-A,,"32, 128, 256 GB",N/A,2 GB LPDDR4,iOS 10,,138.3 x 67.1 x 7.1 mm,138 g (4.9 oz),1960 mAH Li-Po non-removable battery,"4.7"" 1334 x 750","12 MP (rear camera), 7 MP (front camera)"
BlackBerry DTEK60,Snapdragon 820,Quad-core 2x 2.15 Kryo & Quad-core 2 x1.6 GHz Kryo,Adreno 530,32 GB,microSDXC up to 2 TB,3 GB LPDDR3,Android 6.0 Marshmallow,,153.9 x 75.4 x 6.99 mm,165 g,3000 mAh Li-Ion non-removable battery,"5.5"", 2560 x 1440","21 MP (rear camera), 8 MP (front camera)"
Microsoft Lumia 950,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,microSD up to 200 GB,3 GB LPDDR3,Windows 10 Mobile,,145 x 73.2 x 8.5 mm,150 g (5.29 oz),3000 mAh Li-Ion removable battery,"5.2"" 2560 x 1440","20 MP (rear camera), 5 MP (front camera)"
Microsoft Lumia 950 XL,Snapdragon 810,Quad-core 2 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Adreno 430,32 GB,microSD up to 200 GB,3 GB LPDDR4,Windows 10 Mobile,,151.9 x 78.4 x 8.1 mm,165 g (5.82 oz),3340 mAh Li-Ion removable battery,"5.7"" 2560 x 1440","20 MP (rear camera), 5 MP (front camera)"
HTC One M9,Snapdragon 810,Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57,Adreno 430,"32 GB, 64 GB",microSDXC up to 2 TB,3 GB LPDDR4,,HTC Sense UI 7.0,144.6 x 69.7 x 9.6 mm,157 g (5.54 oz),2840 mAh Li-Po battery,"5.0"" 1920 x 1080","20.7 MP (rear camera), 4 MP UltraPixel (front camera)"
LG V10,Snapdragon 808,Quad-core 1.44 GHz Cortex-A53,Adreno 418,64 GB,"microSD, up to 200 GB",4 GB,Android 5.1.1 Lollipop,,159.6 x 79.3 x 8.6 mm,192 g,3000 mAh Li-Ion Removable Battery,"5.7"" 2560 x 1440","16 MP (rear camera), 5 MP Duo (front camera)"
Nexus 6P,Snapdragon 810,Quad-core 2.0 GHz Cortex A53 & quad-core 1.5 GHz Cortex A57,Adreno 430,"32 GB, 64 GB, 128 GB",,3 GB LPDDR4,Android 6.0 Marshmallow,,159.3 x 77.8 x 7.3 mm,178g,3450 mAh Li-Po non-removable battery,"5.7"" 2560 x 1440",12.3MP (rear camera) 8MP (front camera)
Nexus 5X,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,"16 GB, 32 GB",,2 GB LPDDR3,Android 6.0 Marshmallow,,147 x 72.6 x 7.9 mm,136g,2700 mAh Li-Po non-removable battery,"5.2"" 1920 x 1080","12.3MP (rear camera), 5MP (front camera)"
BlackBerry Priv,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57,Adreno 418,32 GB,microSD up to 2TB,3 GB LPDDR3,Android 5.1.1 Lollipop,,147 x 77.2 x 9.4 mm,192g,3410 mAh Li-Po non-removable battery,5.43” 2560 x 1440,"18MP (rear camera), 2MP (front camera)"
Sony Xperia Z3+,Snapdragon 810,Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57,Adreno 430,32 GB,microSD up to 128 GB,3 GB LPDDR4,,None,146 x 72 x 6.9 mm,144 g (5.08 oz),2930 mAh Li-Po non-removable battery,"5.2"" 1920x1080","20.7 MP (rear camera), 5.1 MP (front camera)"
Moto X Play,Snapdragon 615,Quad-core 1.7 GHz Cortex-A53 & Quad-core 1.0 GHz Cortex-A53,Adreno 405,"16 GB, 32 GB",microSD up to 128 GB,2 GB LPDDR3,Android 5.1.1 Lollipop,None,148 x 75 x 10.9 mm,169 g (5.96 oz),3630 mAh Li-Po non-removable battery,"5.5"" 1920x1080","21 MP (rear camera), 5 MP (front camera)"
LG G4,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,microSDXC up to 2 TB,3 GB LPDDR3,Android 5.1 Lollipop,LG UX 4.0 UI,148.9 x 76.1 x 6.3 - 9.8 mm,155 g (5.47 oz),3000 mAh Li-Po removable battery,"5.5"" 2560 x 1440","16 MP (rear camera), 8 MP (front camera)"
OnePlus 2,Snapdragon 810,Quad-core Cortex-A53 & Quad-core 1.8 GHz Cortex-A57,Adreno 430,"16 GB, 64 GB",N/A,3 or 4 GB LPDDR4,Android 5.1.1 Lollipop,Oxygen OS 2.0,151.8 x 74.9 x 9.85 mm,175 g (6.2 oz),3300 mAh Li-Po non-removable battery,"5.5"" 1920x1080","13 MP (rear camera), 5 MP (front camera)"
Apple iPhone 6S,Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,"16 GB, 64 GB, 128 GB",N/A,2 GB LPDDR4,"iOS 9, upgradeable to iOS 10",SpringBoard,138.3 x 67.1 x 7.1 mm,143 g (5.04 oz),1715 mAh Li-Po non-removable battery,"4.7"" 1334x750","12 MP (rear camera), 5 MP (front camera)"
Apple iPhone 6S Plus,Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,"16 GB, 64 GB, 128 GB",N/A,2 GB LPDDR4,"iOS 9, upgradeable to iOS 10",SpringBoard,158.2 x 77.9 x 7.3 mm,192g (6.77 oz),2915 mAh Li-Po non-removable battery,"5.5"" 1920x1080","12 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,143.4 x 70.5 x 6.8 mm,138 g (4.9 oz),2550 mAh Li-Po non-removable battery,"5.1"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6 Edge,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,142 x 70.1 x 7 mm,132 g (4.7 oz),2600 mAh Li-Po non-removable battery,"5.1"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy S6 Edge+,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,4 GB LPDDR4,Android 5.1.1 Lollipop,Touchwiz,154.4 x 75.8 x 6.9 mm,153 g (5.4 oz),3000 mAh Li-Po non-removable battery,"5.7"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Samsung Galaxy Note 5,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,"32 GB, 64 GB, 128 GB",N/A,4 GB LPDDR4,Android 5.1.1 Lollipop,Touchwiz,153.2 x 76.1 x 7.6 mm,171 g (6.0 oz),3020 mAh Li-Po non-removable battery,"5.7"" 2560x1440","16 MP (rear camera), 5 MP (front camera)"
Sony Xperia Z5,Snapdragon 810,Quad-core 2.0 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Adreno 430,32 GB,Up to 200 GB microSDXC,3 GB LPDDR4,Android 5.1.1 Lollipop,,146 x 72 x 7.3 mm,154 g (5.4 oz),2900 mAh Li-Po non-removable battery,"5.2"" 1920x1080","23 MP (rear camera), 5 MP (front camera)"
HTC One (M8),Snapdragon 801,Quad-core 2.5 GHz Krait 400 Qualcomm MSM8975AC,Adreno 330by,"16 GB,32 GB",microSD up to 128 GB,2 GB,Android v4.4.2 kitKat,HTC Sense 6.0,146.4 x 70.6 x 9.4mm,160 g,Li-Ion 2600 mAh,"5.0"" 1920x1080",4 MP (rear camera) w UltraPixel  5.0 MP (front camera)
LG G3,Snapdragon 801,Quad-core 2.5 GHz Krait 400 Qualcomm MSM8975AC ,Adreno 330,"16 GB,32 GB",microSD up to 128 GB,"2 GB, 3 GB",Android v4.4.2 kitKat,,146.3 x 74.6 x 8.9mm,149 g,"Li-Ion 3000 mAh, removable","5.5"" 2560x1440","13 MP (rear camera), 2.1 MP (front camera)"
Apple iPhone 6,Apple A8,1.4 GHz dual-core,PowerVR Series 6 GX6450,"16 GB, 64 GB, 128 GB",N/A,1 GB LPDDR3 RAM,iOS 8,SpringBoard,138.1 x 67 x 6.9 mm,129g,Non-removable Li-Po 1810 mAh,"4.7"" 1334x750","8 MP (rear camera), 1.2 MP (front camera)"
Apple iPhone 6 Plus,Apple A8,1.4 GHz dual-core,PowerVR Series 6 GX6450,"16 GB, 64 GB, 128 GB",N/A,1 GB LPDDR3 RAM,iOS 8,SpringBoard,158.1 x 77.8 x 7.1 mm,172g,Non-removable Li-Po 2915 mAh,"5.5"" 1920x1080","8 MP (rear camera), 1.2 MP (front camera)"
Samsung Galaxy S5,Cortex-A15,1.9 GHz quad-core  and 1.3 GHz quad-core Cortex-A7,ARM Mali T628MP6 or Adreno 330,"16 GB, 32 GB",microSD up to 128 GB,2 GB LPDDR3 RAM,Android Android KitKat 4.4.2,TouchWiz,142 x 72.5 x 8.1 mm,145g,"Li-Ion 2800 mAh, removable","5.1"" 1920 x 1080, 432 ppi",16 MP with 4K(2160p) video recording (rear camera) 2.1 MP (front camera)
Samsung Galaxy Note 4,,1.9 GHz quad-core and 1.3 GHz quad-core Cortex-A53,ARM Mali T760 or Adreno 420,32 GB,microSD up to 128 GB,3 GB LPDDR3 RAM,,TouchWiz,153.5 x 78.6 x 8.5 mm,176g,,"5.7"" 2560 x 1440, 515 ppi","16 MP, 4K(2160p), 3.7 MP (front camera)"
Sony Xperia Z3,Snapdragon 801,Qualcomm  MSM8974AC 801 @ 2.5 GHz,Adreno 330,32 GB for D6616,microSD up to 128 GB,3 GB LPDDR3 RAM,Android Android KitKat 4.4.4,,146 x 72 x 7.3  mm,152g,,"5.15"" BRAVIA IPS (1080 x 1920, 424 ppi)","20.7 MP, 4K video"
